"n","n_t","ndep","KLD"
15,50,2,3
15,50,2,5
15,50,2,7
15,50,4,3
15,50,4,5
15,50,4,7
15,50,8,3
15,50,8,5
15,50,8,7
15,100,2,3
15,100,2,5
15,100,2,7
15,100,4,3
15,100,4,5
15,100,4,7
15,100,8,3
15,100,8,5
15,100,8,7
15,200,2,3
15,200,2,5
15,200,2,7
15,200,4,3
15,200,4,5
15,200,4,7
15,200,8,3
15,200,8,5
15,200,8,7
30,50,2,3
30,50,2,5
30,50,2,7
15,400,2,3
15,400,2,5
15,400,2,7
15,400,4,3
15,400,4,5
15,400,4,7
15,400,8,3
15,400,8,5
15,400,8,7
15,800,2,3
15,800,2,5
15,800,2,7
15,800,4,3
15,800,4,5
15,800,4,7
15,800,8,3
15,800,8,5
15,800,8,7
30,50,4,3
30,50,4,5
30,50,4,7
30,50,8,3
30,50,8,5
30,50,8,7
30,100,2,3
30,100,2,5
30,100,2,7
30,100,4,3
30,100,4,5
30,100,4,7
30,100,8,3
30,100,8,5
30,100,8,7
30,200,2,3
30,200,2,5
30,200,2,7
30,200,4,3
30,200,4,5
30,200,4,7
30,200,8,3
30,200,8,5
30,200,8,7
30,400,2,3
30,400,2,5
30,400,2,7
30,400,4,3
30,400,4,5
30,400,4,7
30,400,8,3
30,400,8,5
30,400,8,7
60,50,2,3
60,50,2,5
60,50,2,7
60,50,4,3
60,50,4,5
60,50,4,7
60,50,8,3
60,50,8,5
60,50,8,7
30,800,2,3
30,800,2,5
30,800,2,7
30,800,4,3
30,800,4,5
30,800,4,7
30,800,8,3
30,800,8,5
30,800,8,7
60,100,2,3
60,100,2,5
60,100,2,7
60,100,4,3
60,100,4,5
60,100,4,7
60,100,8,3
60,100,8,5
60,100,8,7
60,200,2,3
60,200,2,5
60,200,2,7
60,200,4,3
60,200,4,5
60,200,4,7
60,200,8,3
60,200,8,5
60,200,8,7
120,50,2,3
120,50,2,5
120,50,2,7
60,400,2,3
60,400,2,5
60,400,2,7
60,400,4,3
60,400,4,5
60,400,4,7
60,400,8,3
60,400,8,5
60,400,8,7
120,50,4,3
120,50,4,5
120,50,4,7
120,50,8,3
120,50,8,5
120,50,8,7
120,100,2,3
120,100,2,5
120,100,2,7
120,100,4,3
120,100,4,5
120,100,4,7
120,100,8,3
120,100,8,5
120,100,8,7
60,800,2,3
60,800,2,5
60,800,2,7
60,800,4,3
60,800,4,5
60,800,4,7
60,800,8,3
60,800,8,5
60,800,8,7
120,200,2,3
120,200,2,5
120,200,2,7
120,200,4,3
120,200,4,5
120,200,4,7
120,200,8,3
120,200,8,5
120,200,8,7
120,400,2,3
120,400,2,5
120,400,2,7
120,400,4,3
120,400,4,5
120,400,4,7
120,400,8,3
120,400,8,5
120,400,8,7
