n,n_t,KLD,mu_sc,mu_K0_sc,alph_unif,alph_K0_sc,var,half
30,100,7,1,0,0,0,0,-
30,100,7,2,0,0,0,0,-
30,100,7,2,1,0,0,0,-
30,200,5,0,0,0,0,1,-
30,200,5,0,0,0,0,2,-
30,200,5,0,0,1,0,0,-
30,200,5,0,0,1,1,0,-
30,200,5,1,0,0,0,0,-
30,200,5,2,0,0,0,0,-
30,200,5,2,1,0,0,0,-
30,200,7,0,0,0,0,1,-
30,200,7,0,0,0,0,2,-
30,200,7,0,0,1,0,0,-
30,200,7,0,0,1,1,0,-
30,200,7,1,0,0,0,0,-
30,200,7,2,0,0,0,0,-
30,200,7,2,1,0,0,0,-
120,50,5,0,0,0,0,1,-
120,50,5,0,0,0,0,2,-
120,50,5,0,0,1,0,0,-
120,50,5,0,0,1,1,0,-
120,50,5,1,0,0,0,0,-
120,50,5,2,0,0,0,0,-
120,50,5,2,1,0,0,0,-
120,50,7,0,0,0,0,1,-
120,50,7,0,0,0,0,2,-
120,50,7,0,0,1,0,0,-
120,50,7,0,0,1,1,0,-
120,50,7,1,0,0,0,0,-
120,50,7,2,0,0,0,0,-
120,50,7,2,1,0,0,0,-
