n,n_t,KLD,mu_sc,mu_K0_sc,alph_unif,alph_K0_sc,var,half
120,100,5,0,0,0,0,1,B
120,100,5,0,0,0,0,2,B
120,100,5,0,0,1,0,0,B
120,100,5,0,0,1,1,0,B
120,100,5,1,0,0,0,0,B
120,100,5,2,0,0,0,0,B
120,100,5,2,1,0,0,0,B
120,100,7,0,0,0,0,1,B
120,100,7,0,0,0,0,2,B
120,100,7,0,0,1,0,0,B
120,100,7,0,0,1,1,0,B
120,100,7,1,0,0,0,0,B
120,100,7,2,0,0,0,0,B
120,100,7,2,1,0,0,0,B
120,200,5,0,0,0,0,1,B
120,200,5,0,0,0,0,2,B
120,200,5,0,0,1,0,0,B
120,200,5,0,0,1,1,0,B
120,200,5,1,0,0,0,0,B
120,200,5,2,0,0,0,0,B
120,200,5,2,1,0,0,0,B
120,200,7,0,0,0,0,1,B
120,200,7,0,0,0,0,2,B
120,200,7,0,0,1,0,0,B
120,200,7,0,0,1,1,0,B
120,200,7,1,0,0,0,0,B
120,200,7,2,0,0,0,0,B
120,200,7,2,1,0,0,0,B
