"n","n_t","ndep","KLD"
30,50,2,2
30,50,4,2
30,50,8,2
30,50,2,3.5
30,50,4,3.5
30,50,8,3.5
30,50,2,5
30,50,4,5
30,50,8,5
30,100,2,2
30,100,4,2
30,100,8,2
30,100,2,3.5
30,100,4,3.5
30,100,8,3.5
30,100,2,5
30,100,4,5
30,100,8,5
30,200,2,2
30,200,4,2
30,200,8,2
30,200,2,3.5
30,200,4,3.5
30,200,8,3.5
30,200,2,5
30,200,4,5
30,200,8,5
30,400,2,2
30,400,4,2
30,400,8,2
30,400,2,3.5
30,400,4,3.5
30,400,8,3.5
30,400,2,5
30,400,4,5
30,400,8,5
30,800,2,2
30,800,4,2
30,800,8,2
30,800,2,3.5
30,800,4,3.5
30,800,8,3.5
30,800,2,5
30,800,4,5
30,800,8,5
60,50,2,2
60,50,4,2
60,50,8,2
60,50,2,3.5
60,50,4,3.5
60,50,8,3.5
60,50,2,5
60,50,4,5
60,50,8,5
60,100,2,2
60,100,4,2
60,100,8,2
60,100,2,3.5
60,100,4,3.5
60,100,8,3.5
60,100,2,5
60,100,4,5
60,100,8,5
60,200,2,2
60,200,4,2
60,200,8,2
60,200,2,3.5
60,200,4,3.5
60,200,8,3.5
60,200,2,5
60,200,4,5
60,200,8,5
60,400,2,2
60,400,4,2
60,400,8,2
60,400,2,3.5
60,400,4,3.5
60,400,8,3.5
60,400,2,5
60,400,4,5
60,400,8,5
60,800,2,2
60,800,4,2
60,800,8,2
60,800,2,3.5
60,800,4,3.5
60,800,8,3.5
60,800,2,5
60,800,4,5
60,800,8,5
120,50,2,2
120,50,4,2
120,50,8,2
120,50,2,3.5
120,50,4,3.5
120,50,8,3.5
120,50,2,5
120,50,4,5
120,50,8,5
120,100,2,2
120,100,4,2
120,100,8,2
120,100,2,3.5
120,100,4,3.5
120,100,8,3.5
120,100,2,5
120,100,4,5
120,100,8,5
120,200,2,2
120,200,4,2
120,200,8,2
120,200,2,3.5
120,200,4,3.5
120,200,8,3.5
120,200,2,5
120,200,4,5
120,200,8,5
120,400,2,2
120,400,4,2
120,400,8,2
120,400,2,3.5
120,400,4,3.5
120,400,8,3.5
120,400,2,5
120,400,4,5
120,400,8,5
240,50,2,2
240,50,4,2
240,50,8,2
240,50,2,3.5
240,50,4,3.5
240,50,8,3.5
240,50,2,5
240,50,4,5
240,50,8,5
240,100,2,2
240,100,4,2
240,100,8,2
240,100,2,3.5
240,100,4,3.5
240,100,8,3.5
240,100,2,5
240,100,4,5
240,100,8,5
240,200,2,2
240,200,4,2
240,200,8,2
240,200,2,3.5
240,200,4,3.5
240,200,8,3.5
240,200,2,5
240,200,4,5
240,200,8,5
