"n","n_t","ndep","KLD"
30,50,2,4
30,50,4,4
30,50,8,4
30,50,2,8
30,50,4,8
30,50,8,8
30,50,2,12
30,50,4,12
30,50,8,12
30,100,2,4
30,100,4,4
30,100,8,4
30,100,2,8
30,100,4,8
30,100,8,8
30,100,2,12
30,100,4,12
30,100,8,12
30,200,2,4
30,200,4,4
30,200,8,4
30,200,2,8
30,200,4,8
30,200,8,8
30,200,2,12
30,200,4,12
30,200,8,12
30,400,2,4
30,400,4,4
30,400,8,4
30,400,2,8
30,400,4,8
30,400,8,8
30,400,2,12
30,400,4,12
30,400,8,12
30,800,2,4
30,800,4,4
30,800,8,4
30,800,2,8
30,800,4,8
30,800,8,8
30,800,2,12
30,800,4,12
30,800,8,12
60,50,2,4
60,50,4,4
60,50,8,4
60,50,2,8
60,50,4,8
60,50,8,8
60,50,2,12
60,50,4,12
60,50,8,12
60,100,2,4
60,100,4,4
60,100,8,4
60,100,2,8
60,100,4,8
60,100,8,8
60,100,2,12
60,100,4,12
60,100,8,12
60,200,2,4
60,200,4,4
60,200,8,4
60,200,2,8
60,200,4,8
60,200,8,8
60,200,2,12
60,200,4,12
60,200,8,12
60,400,2,4
60,400,4,4
60,400,8,4
60,400,2,8
60,400,4,8
60,400,8,8
60,400,2,12
60,400,4,12
60,400,8,12
60,800,2,4
60,800,4,4
60,800,8,4
60,800,2,8
60,800,4,8
60,800,8,8
60,800,2,12
60,800,4,12
60,800,8,12
120,50,2,4
120,50,4,4
120,50,8,4
120,50,2,8
120,50,4,8
120,50,8,8
120,50,2,12
120,50,4,12
120,50,8,12
120,100,2,4
120,100,4,4
120,100,8,4
120,100,2,8
120,100,4,8
120,100,8,8
120,100,2,12
120,100,4,12
120,100,8,12
120,200,2,4
120,200,4,4
120,200,8,4
120,200,2,8
120,200,4,8
120,200,8,8
120,200,2,12
120,200,4,12
120,200,8,12
120,400,2,4
120,400,4,4
120,400,8,4
120,400,2,8
120,400,4,8
120,400,8,8
120,400,2,12
120,400,4,12
120,400,8,12
240,50,2,4
240,50,4,4
240,50,8,4
240,50,2,8
240,50,4,8
240,50,8,8
240,50,2,12
240,50,4,12
240,50,8,12
240,100,2,4
240,100,4,4
240,100,8,4
240,100,2,8
240,100,4,8
240,100,8,8
240,100,2,12
240,100,4,12
240,100,8,12
240,200,2,4
240,200,4,4
240,200,8,4
240,200,2,8
240,200,4,8
240,200,8,8
240,200,2,12
240,200,4,12
240,200,8,12
